Timestamp,Time_Relative_s,RSS_KB,VSZ_KB
1765141543.848718402,0.022,1460,7372
1765141544.874067154,1.047,1460,7372
1765141545.898682984,2.072,1460,7372
1765141546.922517305,3.096,1460,7372
1765141547.947446507,4.121,1460,7372
1765141548.971966384,5.145,1460,7372
1765141549.996831431,6.170,1460,7372
1765141551.043665694,7.217,1460,7372
1765141552.113576472,8.287,1460,7372
1765141553.137502354,9.311,1460,7372
1765141554.165558460,10.339,1460,7372
1765141555.191323269,11.365,1460,7372
1765141556.216433495,12.390,1460,7372
1765141557.240295866,13.414,1460,7372
1765141558.263127566,14.436,1460,7372
1765141559.290276588,15.463,1460,7372
1765141560.375069286,16.548,1460,7372
1765141561.441051759,17.614,1460,7372
1765141562.483279222,18.656,1460,7372
1765141563.554735262,19.728,1460,7372
1765141564.634749774,20.808,1460,7372
1765141565.724602781,21.898,1460,7372
1765141566.813586676,22.987,1460,7372
1765141567.902833347,24.076,1460,7372
1765141568.994716742,25.168,1460,7372
1765141570.098824508,26.272,1460,7372
1765141571.149152753,27.322,1460,7372
1765141572.184582929,28.358,1460,7372
1765141573.208301819,29.382,1460,7372
1765141574.252180308,30.425,1460,7372
1765141575.278656825,31.452,1460,7372
1765141576.303953720,32.477,1460,7372
1765141577.340292794,33.514,1460,7372
1765141578.390762982,34.564,1460,7372
1765141579.422203729,35.595,1460,7372
1765141580.454979016,36.628,1460,7372
1765141581.498440823,37.672,1460,7372
1765141582.529662107,38.703,1460,7372
1765141583.554464453,39.728,1460,7372
1765141584.580614347,40.754,1460,7372
1765141585.625874245,41.799,1460,7372
1765141586.669573822,42.843,1460,7372
1765141587.705162844,43.878,1460,7372
1765141588.730415896,44.904,1460,7372
1765141589.760184883,45.933,1460,7372
1765141590.791406619,46.965,1460,7372
1765141591.817281016,47.990,1460,7372
1765141592.841266952,49.014,1460,7372
1765141593.865400658,50.039,1460,7372
1765141594.887762305,51.061,1460,7372
1765141595.910119696,52.083,1460,7372
1765141596.933049538,53.106,1460,7372
1765141597.954882086,54.128,1460,7372
1765141598.976737439,55.150,1460,7372
1765141599.999190084,56.172,1460,7372
