Timestamp,Time_Relative_s,RSS_KB,VSZ_KB
1765141744.272566779,0.020,1528,7372
1765141745.295883145,1.043,1528,7372
1765141746.319196049,2.067,1528,7372
1765141747.345428720,3.093,1528,7372
1765141748.368009241,4.115,1528,7372
1765141749.389321047,5.137,1528,7372
1765141750.413836991,6.161,1528,7372
1765141751.437720328,7.185,1528,7372
1765141752.460591673,8.208,1528,7372
1765141753.492509465,9.240,1528,7372
1765141754.530701415,10.278,1528,7372
1765141755.554301697,11.302,1528,7372
1765141756.577486910,12.325,1528,7372
1765141757.601419205,13.349,1528,7372
1765141758.628170183,14.376,1528,7372
1765141759.655077439,15.402,1528,7372
1765141760.679598387,16.427,1528,7372
1765141761.702925495,17.450,1528,7372
1765141762.729846046,18.477,1528,7372
1765141763.756678856,19.504,1528,7372
1765141764.780509768,20.528,1528,7372
1765141765.803703947,21.551,1528,7372
1765141766.865341148,22.613,1528,7372
1765141767.931215389,23.679,1528,7372
1765141769.006801549,24.754,1528,7372
1765141770.090765259,25.838,1528,7372
1765141771.182766874,26.930,1528,7372
1765141772.266926348,28.014,1528,7372
1765141773.362489073,29.110,1528,7372
1765141774.446545667,30.194,1528,7372
1765141775.497735378,31.245,1528,7372
1765141776.566785297,32.314,1528,7372
1765141777.662676129,33.410,1528,7372
1765141778.754473046,34.502,1528,7372
1765141779.862820265,35.610,1528,7372
1765141780.966810987,36.714,1528,7372
1765141782.063028599,37.810,1528,7372
1765141783.161396307,38.909,1528,7372
1765141784.243070134,39.990,1528,7372
1765141785.317998123,41.065,1528,7372
1765141786.422088877,42.169,1528,7372
1765141787.485256209,43.233,1528,7372
1765141788.542813315,44.290,1528,7372
1765141789.624855237,45.372,1528,7372
1765141790.708140258,46.455,1528,7372
1765141791.758509379,47.506,1528,7372
1765141792.873290039,48.621,1528,7372
1765141793.964858542,49.712,1528,7372
1765141795.066760535,50.814,1528,7372
1765141796.134298300,51.882,1528,7372
1765141797.190062965,52.937,1528,7372
1765141798.298809524,54.046,1528,7372
1765141799.407014447,55.154,1528,7372
1765141800.493884087,56.241,1528,7372
1765141801.590071102,57.337,1528,7372
1765141802.666476053,58.414,1528,7372
1765141803.758712353,59.506,1528,7372
1765141804.858806862,60.606,1528,7372
1765141805.946796677,61.694,1528,7372
1765141807.047855636,62.795,1528,7372
1765141808.105239972,63.853,1528,7372
1765141809.172669516,64.920,1528,7372
1765141810.276721160,66.024,1528,7372
1765141811.393320590,67.141,1528,7372
1765141812.460821160,68.208,1528,7372
1765141813.506676943,69.254,1528,7372
1765141814.534437022,70.282,1528,7372
1765141815.578640478,71.326,1528,7372
1765141816.634687604,72.382,1528,7372
1765141817.664816507,73.412,1528,7372
1765141818.695331287,74.443,1528,7372
1765141819.732738161,75.480,1528,7372
1765141820.785629102,76.533,1528,7372
1765141821.834276141,77.582,1528,7372
1765141822.878449160,78.626,1528,7372
1765141823.929697105,79.677,1528,7372
1765141824.961562061,80.709,1528,7372
1765141826.007815228,81.755,1528,7372
1765141827.059167282,82.807,1528,7372
1765141828.110780415,83.858,1528,7372
1765141829.147673527,84.895,1528,7372
1765141830.182383610,85.930,1528,7372
1765141831.212469268,86.960,1528,7372
1765141832.250599042,87.998,1528,7372
1765141833.315162974,89.062,1528,7372
1765141834.342589454,90.090,1528,7372
1765141835.367267737,91.115,1528,7372
1765141836.389094398,92.136,1528,7372
1765141837.415967536,93.163,1528,7372
