Timestamp,Time_Relative_s,RSS_KB,VSZ_KB
1765141107.601942850,0.020,272,7372
1765141108.628674311,1.047,272,7372
1765141109.654405253,2.073,272,7372
1765141110.680049258,3.098,272,7372
1765141111.705300413,4.124,272,7372
1765141112.733430915,5.152,272,7372
1765141113.760437454,6.179,272,7372
1765141114.791094937,7.209,272,7372
1765141115.817931716,8.236,272,7372
1765141116.842418860,9.261,272,7372
1765141117.873079356,10.291,272,7372
1765141118.896669796,11.315,272,7372
1765141119.923471063,12.342,272,7372
1765141121.681321209,14.100,272,7372
1765141122.706848065,15.125,228,7372
1765141123.732097487,16.150,228,7372
1765141124.760366859,17.179,228,7372
1765141125.788469742,18.207,228,7372
1765141126.813680993,19.232,228,7372
1765141127.837792032,20.256,228,7372
1765141128.863872648,21.282,228,7372
1765141129.889176414,22.308,228,7372
1765141130.913461837,23.332,228,7372
1765141131.938590710,24.357,228,7372
1765141132.963494391,25.382,228,7372
1765141133.990208205,26.409,228,7372
1765141135.014708850,27.433,228,7372
1765141136.038703657,28.457,228,7372
1765141137.074091705,29.492,228,7372
1765141138.104618049,30.523,228,7372
1765141139.128340939,31.547,228,7372
1765141140.152032233,32.570,228,7372
1765141141.176039248,33.594,228,7372
1765141142.202253011,34.621,228,7372
1765141143.226442810,35.645,228,7372
1765141144.250850113,36.669,228,7372
1765141145.279009367,37.697,228,7372
1765141146.303587614,38.722,228,7372
1765141147.327290816,39.746,228,7372
1765141148.350660611,40.769,228,7372
1765141149.380576155,41.799,228,7372
1765141150.403940621,42.822,228,7372
1765141151.431264744,43.850,228,7372
1765141152.455107526,44.873,228,7372
1765141153.479168077,45.898,228,7372
1765141154.503249058,46.922,228,7372
1765141155.526475872,47.945,228,7372
1765141156.550729218,48.969,228,7372
1765141157.575039526,49.993,228,7372
1765141158.602361722,51.021,228,7372
1765141159.627255144,52.046,228,7372
1765141160.654723377,53.073,228,7372
1765141161.678460685,54.097,228,7372
1765141162.707306690,55.126,228,7372
1765141163.732521144,56.151,228,7372
1765141164.756857819,57.175,228,7372
1765141165.781636969,58.200,228,7372
1765141166.809794980,59.228,228,7372
1765141167.834424419,60.253,228,7372
1765141168.858811088,61.277,228,7372
1765141169.883000460,62.301,228,7372
1765141170.907058647,63.325,228,7372
1765141171.930490255,64.349,228,7372
1765141172.954273036,65.373,228,7372
1765141173.978633578,66.397,228,7372
1765141175.002862425,67.421,228,7372
1765141176.029632782,68.448,228,7372
1765141177.054334789,69.473,228,7372
1765141178.079220588,70.498,228,7372
1765141179.103532961,71.522,228,7372
1765141180.127652742,72.546,228,7372
1765141181.151376698,73.570,228,7372
1765141182.175539884,74.594,228,7372
1765141183.202608155,75.621,228,7372
1765141184.232170150,76.651,228,7372
1765141185.257243752,77.676,228,7372
1765141186.281947765,78.700,228,7372
1765141187.306303217,79.725,228,7372
1765141188.330258845,80.749,228,7372
1765141189.354687981,81.773,228,7372
1765141190.378516083,82.797,228,7372
1765141191.402372898,83.821,228,7372
1765141192.426292883,84.845,228,7372
1765141193.451014648,85.869,228,7372
1765141194.474121671,86.892,228,7372
1765141195.499344594,87.918,228,7372
1765141196.528189872,88.947,228,7372
1765141197.661443485,90.080,228,7372
1765141198.699158864,91.118,228,7372
1765141199.725897839,92.144,228,7372
1765141200.754320027,93.173,68,7372
1765141201.784402666,94.203,32,7372
1765141202.813355391,95.232,32,7372
1765141203.839328946,96.258,32,7372
1765141204.864335572,97.283,32,7372
1765141205.893592227,98.312,32,7372
1765141206.921136946,99.339,32,7372
1765141207.946846759,100.365,32,7372
1765141208.970985902,101.389,32,7372
1765141209.996502335,102.415,32,7372
1765141211.021847412,103.440,32,7372
1765141212.046735334,104.465,32,7372
1765141213.072515847,105.491,32,7372
1765141214.097820820,106.516,32,7372
1765141215.122739540,107.541,32,7372
1765141216.147751132,108.566,32,7372
1765141217.173543109,109.592,32,7372
1765141218.199175366,110.618,32,7372
1765141219.226136759,111.644,32,7372
1765141220.251239550,112.670,32,7372
1765141221.280521636,113.699,32,7372
1765141222.304205566,114.723,32,7372
1765141223.328318448,115.747,32,7372
1765141224.352994083,116.771,32,7372
1765141225.377960536,117.796,32,7372
1765141226.406410286,118.825,32,7372
1765141227.430520073,119.849,32,7372
1765141228.454404018,120.873,32,7372
1765141229.479995823,121.898,32,7372
1765141230.508959509,122.927,32,7372
1765141231.533110420,123.951,32,7372
1765141232.556915496,124.975,32,7372
1765141233.581935620,126.000,32,7372
1765141234.606841700,127.025,32,7372
1765141235.633547335,128.052,32,7372
1765141236.658317844,129.077,32,7372
1765141237.683194089,130.102,32,7372
1765141238.709188276,131.128,32,7372
1765141239.734226818,132.153,32,7372
1765141240.760201489,133.179,32,7372
1765141241.785203157,134.204,32,7372
1765141242.812417724,135.231,32,7372
1765141243.836418675,136.255,32,7372
1765141244.866091627,137.284,32,7372
1765141245.896030919,138.314,32,7372
1765141246.930250494,139.349,32,7372
1765141247.955116919,140.373,32,7372
1765141248.981004825,141.399,32,7372
1765141250.006233437,142.425,32,7372
1765141251.031441772,143.450,32,7372
1765141252.056159557,144.475,32,7372
1765141253.085165625,145.504,32,7372
1765141254.118786414,146.537,32,7372
1765141255.143057887,147.561,32,7372
1765141256.167956971,148.586,32,7372
1765141257.191177197,149.610,32,7372
1765141258.215784532,150.634,32,7372
1765141259.241278324,151.660,32,7372
1765141260.265940728,152.684,32,7372
1765141261.290635871,153.709,32,7372
1765141262.319229876,154.738,32,7372
1765141263.343906064,155.762,32,7372
1765141264.367350404,156.786,32,7372
